pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
GOOD,GOOD,1,0,0,0,3,1,0,0,27,23,57,41,62%,38%,False
GOOD,GOOD,0,0,0,0,3,3,8,7,75,83,122,124,50%,50%,True
GOOD,GOOD,1,0,0,0,0,3,4,2,49,31,65,49,58%,42%,False
GOOD,GOOD,0,0,0,0,1,3,11,15,34,47,89,95,44%,56%,False
GOOD,GOOD,0,1,0,0,1,1,5,6,23,12,51,29,54%,46%,False
GOOD,GOOD,0,0,0,0,4,0,10,6,50,36,71,78,45%,55%,False
GOOD,GOOD,1,0,0,0,3,0,6,5,26,21,42,36,44%,56%,False
GOOD,GOOD,1,0,0,0,9,0,13,0,153,13,125,31,77%,23%,False
GOOD,GOOD,5,0,0,0,1,0,8,0,77,12,63,21,76%,24%,True
GOOD,GOOD,0,1,0,0,3,3,7,3,59,64,74,82,48%,52%,True
GOOD,GOOD,2,1,0,0,1,2,7,1,33,31,43,45,52%,48%,False
GOOD,GOOD,0,0,0,0,1,6,7,9,38,58,76,82,49%,51%,True
GOOD,GOOD,0,1,0,0,1,4,2,4,21,26,39,42,50%,50%,False
GOOD,GOOD,1,1,0,0,3,3,5,4,45,46,76,81,49%,51%,False
GOOD,GOOD,1,2,0,0,3,1,3,2,19,25,35,42,44%,56%,False
GOOD,GOOD,2,0,0,0,4,9,8,15,30,73,86,118,43%,57%,False
GOOD,GOOD,2,1,0,0,2,6,3,10,14,36,47,62,41%,59%,False
GOOD,GOOD,0,0,0,0,0,2,7,10,80,51,152,102,0,0,False
GOOD,GOOD,1,0,0,0,7,10,6,8,33,39,90,82,48%,52%,False
GOOD,GOOD,2,2,0,0,2,3,3,2,16,12,37,32,51%,49%,False
GOOD,GOOD,1,1,0,0,3,13,2,9,20,67,97,89,45%,55%,False
GOOD,GOOD,1,4,0,0,1,6,1,6,11,33,45,48,49%,51%,False
GOOD,GOOD,1,3,0,0,5,6,6,2,56,57,116,116,58%,42%,False
GOOD,GOOD,3,6,0,0,1,3,2,2,21,24,59,59,63%,37%,True
GOOD,GOOD,0,0,0,0,3,3,4,6,43,59,89,111,40%,60%,True
GOOD,GOOD,1,1,0,0,1,1,4,5,23,25,47,58,39%,61%,False
GOOD,GOOD,0,3,0,0,5,10,8,5,21,38,40,61,43%,57%,True
GOOD,GOOD,1,4,0,0,2,6,2,1,10,21,18,35,44%,56%,True
GOOD,GOOD,0,2,0,2,5,6,3,4,41,47,79,89,37%,63%,False
GOOD,GOOD,2,3,0,3,1,4,3,3,22,27,42,38,43%,57%,True
GOOD,GOOD,1,1,0,0,4,3,5,11,66,88,122,149,1,2,False
GOOD,GOOD,0,0,0,0,5,3,10,7,47,61,79,92,45%,55%,False
GOOD,GOOD,0,0,0,0,3,3,5,4,25,30,42,48,43%,57%,True
GOOD,GOOD,9,0,0,0,26,1,15,2,137,10,85,32,82%,18%,True
GOOD,GOOD,18,0,0,0,13,1,7,0,72,2,57,20,84%,16%,False
GOOD,GOOD,0,0,0,0,2,0,0,5,48,45,99,105,39%,61%,False
GOOD,GOOD,0,0,0,0,1,0,0,2,24,17,46,50,37%,63%,True
GOOD,GOOD,4,0,0,0,12,1,6,1,61,28,83,82,54%,46%,True
GOOD,GOOD,6,0,0,0,4,1,3,0,28,14,42,39,52%,48%,False
GOOD,GOOD,0,2,0,0,8,10,5,7,43,39,85,101,46%,54%,True
GOOD,GOOD,0,3,0,0,3,6,3,4,22,20,43,47,45%,55%,True
GOOD,GOOD,0,1,0,0,10,4,8,2,61,32,77,56,53%,47%,False
GOOD,GOOD,2,1,0,0,4,1,1,1,24,13,48,34,49%,51%,True
GOOD,GOOD,1,0,0,0,3,1,8,3,48,39,96,105,51%,49%,False
GOOD,GOOD,1,0,0,0,2,1,4,2,25,20,49,43,60%,40%,True
