time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,France National 2,GOOD,GOOD,1,0,0,0,2,3,3,4,28,25,55,48,48%,52%,True
fh,France National 2,GOOD,GOOD,1,1,1,2,4,5,8,5,22,39,65,90,47%,53%,False
lh,France National 2,GOOD,GOOD,1,1,2,6,3,3,0,2,9,18,31,42,45%,55%,True
fh,France National 2,GOOD,GOOD,0,1,0,0,5,2,4,3,70,30,127,93,61%,39%,False
lh,France National 2,GOOD,GOOD,2,1,0,0,0,2,2,2,33,16,68,52,60%,40%,False
fh,Europe Friendlies,GOOD,GOOD,0,0,0,0,1,6,6,10,49,82,86,127,43%,57%,True
lh,Europe Friendlies,GOOD,GOOD,0,2,0,0,0,1,2,5,27,48,46,69,43%,57%,False
fh,France National 2,GOOD,GOOD,2,0,0,0,9,2,5,7,45,50,107,114,51%,49%,False
lh,France National 2,GOOD,GOOD,2,0,0,0,8,2,3,4,16,28,54,52,47%,53%,True
fh,Portugal Liga 3,GOOD,GOOD,2,0,0,0,3,3,7,3,68,46,150,80,63%,37%,True
lh,Portugal Liga 3,GOOD,GOOD,2,1,0,0,3,1,4,0,36,22,73,38,57%,43%,True
fh,Spain Primera Nacio...,GOOD,GOOD,0,1,0,0,2,6,5,4,38,30,58,43,48%,52%,True
lh,Spain Primera Nacio...,GOOD,GOOD,1,4,0,0,1,1,2,0,22,15,28,23,49%,51%,False
fh,France National 2,GOOD,GOOD,0,0,0,1,2,1,7,5,56,45,89,96,53%,47%,False
lh,France National 2,GOOD,GOOD,1,0,0,2,1,0,5,1,35,12,43,41,59%,41%,True
fh,France National 2,GOOD,GOOD,1,0,2,0,7,3,7,12,64,53,88,88,47%,53%,False
lh,France National 2,GOOD,GOOD,1,1,3,0,4,1,4,4,27,22,41,41,49%,51%,False
fh,France National 2,GOOD,GOOD,1,0,0,0,9,5,6,3,50,39,111,84,54%,46%,True
lh,France National 2,GOOD,GOOD,1,0,0,0,8,1,1,0,25,11,55,32,60%,40%,False
fh,Spain Youth League,GOOD,GOOD,1,0,0,0,6,6,4,6,53,34,95,71,71%,29%,False
lh,Spain Youth League,GOOD,GOOD,2,2,0,0,4,3,0,5,26,17,43,31,72%,28%,False
fh,Spain Youth League,GOOD,GOOD,0,1,0,0,4,8,2,7,31,39,77,93,33%,67%,False
lh,Spain Youth League,GOOD,GOOD,1,3,0,0,2,4,1,4,13,22,35,48,29%,71%,False
fh,France National 2,GOOD,GOOD,0,0,1,0,6,3,7,2,50,38,109,98,52%,48%,False
lh,France National 2,GOOD,GOOD,0,0,1,0,3,2,3,1,16,20,46,51,44%,56%,False
fh,Spain Segunda Divis...,GOOD,GOOD,0,0,6,0,3,2,4,4,34,45,85,97,50%,50%,True
lh,Spain Segunda Divis...,GOOD,GOOD,0,1,0,0,1,0,2,2,14,24,36,52,50%,50%,False
fh,Cyprus Division 1,GOOD,GOOD,0,0,0,0,4,6,7,9,53,45,94,81,51%,49%,True
lh,Cyprus Division 1,GOOD,GOOD,1,0,0,0,2,2,4,4,26,16,45,39,53%,47%,True
fh,France National 2,GOOD,GOOD,1,0,1,0,7,5,5,4,49,46,91,80,61%,39%,False
lh,France National 2,GOOD,GOOD,1,1,0,0,6,1,4,0,25,23,45,40,60%,40%,False
fh,Italy Serie A,GOOD,GOOD,1,1,0,0,11,3,11,0,101,14,169,66,70%,30%,False
lh,Italy Serie A,GOOD,GOOD,2,1,0,0,4,2,8,0,47,4,83,30,72%,28%,True
fh,Mexico Segunda Divi...,GOOD,GOOD,0,0,0,0,2,5,1,4,54,55,94,99,51%,49%,False
lh,Mexico Segunda Divi...,GOOD,GOOD,0,1,0,0,2,1,1,3,25,32,42,59,45%,55%,True
fh,Spain Segunda Divis...,GOOD,GOOD,0,0,0,0,6,1,6,1,50,33,109,82,59%,41%,False
lh,Spain Segunda Divis...,GOOD,GOOD,1,0,0,1,1,1,6,1,29,16,62,39,63%,37%,False
fh,Spain Segunda Divis...,GOOD,GOOD,2,0,2,0,7,3,8,4,88,69,139,107,59%,41%,True
lh,Spain Segunda Divis...,GOOD,GOOD,4,0,5,0,3,0,4,3,34,34,65,60,51%,49%,True
fh,Spain Segunda Divis...,GOOD,GOOD,0,0,3,0,2,5,8,0,78,93,109,132,50%,50%,True
lh,Spain Segunda Divis...,GOOD,GOOD,1,1,3,0,1,1,5,0,44,46,50,70,49%,51%,False
fh,Spain Tercera Group 6,GOOD,GOOD,0,0,0,0,5,2,6,6,57,43,96,107,44%,56%,False
lh,Spain Tercera Group 6,GOOD,GOOD,1,0,0,0,2,0,3,1,29,23,46,57,42%,58%,False
fh,Africa Cup of Nations,GOOD,GOOD,1,0,0,6,8,5,9,14,51,86,98,120,48%,52%,False
lh,Africa Cup of Nations,GOOD,GOOD,1,1,0,4,1,3,2,6,8,40,30,50,46%,54%,True
fh,Scotland Premier Le...,GOOD,GOOD,0,1,0,0,5,2,5,2,101,79,110,114,51%,49%,True
lh,Scotland Premier Le...,GOOD,GOOD,2,1,0,0,2,2,3,1,50,44,60,63,55%,45%,False
fh,Spain Primera Nacio...,GOOD,GOOD,4,0,0,0,12,1,7,1,61,19,95,60,69%,31%,False
lh,Spain Primera Nacio...,GOOD,GOOD,6,0,0,0,7,1,3,0,35,9,47,33,65%,35%,False
fh,Spain Tercera Group 4,GOOD,GOOD,2,0,4,0,4,5,7,6,35,39,73,79,43%,57%,False
lh,Spain Tercera Group 4,GOOD,GOOD,2,2,3,0,3,1,3,3,16,16,35,37,49%,51%,False
fh,Spain Segunda Divis...,GOOD,GOOD,1,0,0,0,3,4,6,5,31,43,70,83,45%,55%,False
